"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","1/1","105/9378",0.00952380952380952,89.3142857142857,9.39756807446936,0.0111964171465131,0.0223928342930262,NA,"60401",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","1/1","298/9378",0.00335570469798658,31.4697986577181,5.51994553032167,0.0317764981872466,0.0317764981872466,NA,"60401",1
