"gene_id","mean_control","mean_ad","fold_change"
"94025",4.72802861494285,3.50121449240652,-1.22681412253633
"100505879",4.94441995412706,3.82023173500323,-1.12418821912383
"4973",6.94851433380096,8.01867569291004,1.07016135910908
"60401",5.40736114347284,6.43077982296849,1.02341867949565
"105372270",4.4865827287287,5.45648308255745,0.969900353828749
"1524",7.85600957797496,8.74767696783764,0.891667389862682
"283420",4.61268219657914,5.49260621241583,0.879924015836686
"107984440",6.57400055525263,7.42930581064494,0.855305255392307
"6289",4.65848063904145,3.86641610078626,-0.792064538255187
"399827",6.22794564241826,5.45320722331315,-0.774738419105109
"101928180",4.3872620830882,5.09129928145479,0.704037198366588
"202309",3.96485033495692,4.66033487360231,0.695484538645383
"340075",5.1096977730493,5.7973102654836,0.687612492434304
"101928176",5.67552735172275,6.32170891858036,0.646181566857604
"29974",5.37875270449555,4.79571104645959,-0.58304165803596
"151011",8.67176627404012,9.16648148493085,0.494715210890726
"770",10.7744149161863,10.312267719151,-0.462147197035325
"100132287",6.81437285636215,6.35397156726413,-0.460401289098021
"114900",8.59440131436286,8.14738051217382,-0.447020802189037
"5067",10.5365878133099,10.1632567399666,-0.373331073343245
"8470",11.5960277794197,11.2869245923716,-0.309103187048009
"100996442",7.40675794482851,7.24389328292584,-0.162864661902669
"729737",6.50183759460944,6.344260310405,-0.157577284204446
"107985721",4.27607153108279,4.42163074699561,0.14555921591282
"653635",8.34311038550422,8.22617975595363,-0.116930629550591
"102466751",4.80954152336691,4.71089523284878,-0.0986462905181318
"102725121",4.52090183412108,4.42834475174001,-0.0925570823810657
"100287102",4.4177953780446,4.37865874045727,-0.0391366375873332
"102465909",4.4157812687119,4.38828742570467,-0.0274938430072318
"112268260",6.57381493062638,6.57991316716083,0.00609823653444863
