"from","to","combined_score"
"9606.ENSP00000342313","9606.ENSP00000343930",530
"9606.ENSP00000342313","9606.ENSP00000343930",530
"9606.ENSP00000348074","9606.ENSP00000351059",444
"9606.ENSP00000348074","9606.ENSP00000351059",444
