"protein_id","gene_symbol","padj","log2FC","degree","betweenness","closeness","eigenvector"
"9606.ENSP00000342313","SAMD11",0.999874888188067,-0.0561985570144464,2,0,1,0
"9606.ENSP00000348074","CLEC9A",0.291648819912009,-1.42417368744739,2,0,1,0
"9606.ENSP00000343930","KLHL17",0.999874888188067,0.0435250699195057,2,0,1,0
"9606.ENSP00000351059","CX3CR1",0.20126604689834,-0.90778019682311,2,0,1,0
