"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100287102",9.00418894540817,0.135081646694344,0.51685811831278,0.261351504229636,0.793821451646346,0.999874888188067
"653635",323.689467409257,0.345489403160696,0.346326351623821,0.99758335321814,0.318481436559955,0.999874888188067
"102466751",14.8453272137555,0.176982617091028,0.464036953102785,0.381397679446934,0.702908182662669,0.999874888188067
"100996442",152.035370649671,0.2275009508459,0.282882871953866,0.804223137564166,0.421268118507429,0.999874888188067
"729737",93.3653553281295,0.711004862079796,0.576485549241431,1.23334377247682,0.217447533311805,0.999874888188067
"102725121",10.1186885912314,0.290964955883344,0.51425180560672,0.565802497358391,0.571528048609726,0.999874888188067
"102723897",387.67060669241,0.591539469063913,0.423822933639508,1.39572312424004,NA,NA
"102465909",8.86789307784283,0.0535059284792035,0.480782222250409,0.111289323945376,0.911386921073002,0.999874888188067
"107985721",7.71073195367899,-0.223222724994579,0.408321194792464,-0.546684149246859,0.58459574578656,0.999874888188067
"112268260",86.4026788200413,-0.120054021107822,0.363184810876948,-0.330559036370323,0.740977592463865,0.999874888188067
"100132287",104.150105874154,0.915930186203827,0.533785415600532,1.71591459682983,0.0861776746880038,0.999874888188067
"105378947",9.3914611817718,0.224359430775554,0.494420079013498,0.453783008212797,0.649985014637069,0.999874888188067
"113219467",911.566675056166,0.0646682541419491,0.48983519595421,0.132020431925015,0.894968130862003,0.999874888188067
"81399",53.3317975781893,-0.119728686255443,0.279972127384109,-0.427645020860167,0.668909583148103,0.999874888188067
"100133331",107.354549190809,1.12277836798254,0.57143649324928,1.96483490509722,0.0494333488267889,0.999874888188067
"107984841",42.7315081018281,0.263922499821179,0.310772201522688,0.849247450473496,0.395743614839968,0.999874888188067
"107984847",68.9351136831295,0.589694692941703,0.430436411600036,1.36999258670907,0.170689215784068,0.999874888188067
"107984849",14.8428716633895,0.19969348202301,0.404010773252515,0.494277616449097,0.621110130893543,0.999874888188067
"100288069",145.471753167662,0.277849364421931,0.295860335851877,0.939123399633525,0.347667391586878,0.999874888188067
"105378580",220.850555946175,0.100226820339592,0.171793318605068,0.583415124368144,0.559613878758556,0.999874888188067
"400728",51.1252074911771,0.375378937783113,0.267443800109541,1.40358063125548,0.160443766079955,0.999874888188067
"79854",40.6378501649381,0.230069201836447,0.198004069944639,1.16194178180667,0.245259113874623,0.999874888188067
"643837",738.09342574722,0.0280166726547501,0.12990538775703,0.215669828161027,0.829245121372138,0.999874888188067
"107984850",10.3956925416435,-0.399264309424516,0.543962147238439,-0.733992818161121,0.462953115193718,0.999874888188067
"284593",15.3319438671354,-0.120574758131518,0.391654808407894,-0.307859767180347,0.758189040994611,0.999874888188067
"284600",6.59326272718565,0.151937163156458,0.417565207174048,0.363864518753184,0.715959181026137,0.999874888188067
"100130417",7.44719791355114,-0.634264171470658,0.389663868347568,-1.62772128234613,0.103583998293199,0.999874888188067
"107985728",13.7752018823908,0.040358843975076,0.453597343990188,0.0889750447391265,0.929101742857289,0.999874888188067
"148398",82.8421749979379,-0.0561985570144464,0.240270580848325,-0.2338969540758,0.81506497792894,0.999874888188067
"26155",684.686316591085,0.224493180564762,0.18651623983549,1.20361197911114,0.228739587260747,0.999874888188067
"339451",92.5266760359357,0.0435250699195057,0.392925601171977,0.110771784250463,0.911797320530391,0.999874888188067
"57801",105.997545092123,0.656021715398828,0.328871742244368,1.99476461833371,0.0460685579838263,0.999874888188067
"9636",362.7066069576,3.05971951630282,1.0367813334758,2.95117149345768,NA,NA
"375790",1335.59359660835,0.618058647968676,0.412833868821836,1.49711226390538,0.134364049182879,0.999874888188067
"100288175",16.6018119153667,0.088518488204371,0.301101777086776,0.293981952085458,0.768771694471441,0.999874888188067
"112267874",7.17062373107276,0.21123712824218,0.493676379589452,0.42788583164106,0.668734242875825,0.999874888188067
"105378948",19.2806522108982,0.449328340182286,0.292728182779817,1.53496781866152,0.124791733133977,0.999874888188067
"54991",125.686988842032,0.276704195554232,0.313307402689156,0.883171585411792,0.37714357141096,0.999874888188067
"8784",9.53912467691769,0.907902804172319,0.57130263926514,1.58918013286293,0.112019730475762,0.999874888188067
"7293",11.6944282616173,0.647473133870699,0.395221742490556,1.63825281926682,0.101368965369562,0.999874888188067
"51150",882.806744898832,0.707656560924634,0.329176873636601,2.14977605536731,0.0315729330862772,0.999874888188067
"126792",225.156717589235,0.370591729166182,0.201860821120022,1.83587744818414,0.0663757837347709,0.999874888188067
"388581",13.6271700898591,0.854457660752445,0.502039418452003,1.70197325020233,0.0887603828806301,0.999874888188067
"118424",357.43176057605,0.19090722493804,0.172060560874003,1.10953506119184,0.2671994279075,0.999874888188067
"101928895",105.965706683016,0.298051573275145,0.401144908852719,0.743002258529412,0.45748031305027,0.999874888188067
"6339",231.540548233947,0.426675949955136,0.404894519123268,1.05379532150505,0.291976635945949,0.999874888188067
"116983",2629.67308917453,0.626467869465799,0.417515809351693,1.50046502535691,0.133493986611982,0.999874888188067
"109623456",24.358932612904,0.261742747005146,0.362205687258097,0.722635663140858,0.469903751781693,0.999874888188067
"126789",102.465010045689,0.145907310407636,0.220629069490268,0.661324052830997,0.508404519484707,0.999874888188067
"54973",873.35847470084,0.511142563329922,0.339861296862628,1.50397402719418,0.132588054439266,0.999874888188067
"80772",198.782620753866,0.165817551807215,0.214284910219487,0.77381814537184,0.439038340481032,0.999874888188067
"83756",49.4209625149102,-0.0337778830935835,0.292326544240339,-0.115548463726964,0.908010409190579,0.999874888188067
"1855",1228.28809529844,0.17459564777669,0.22955460507596,0.760584383479983,0.44690535026074,0.999874888188067
"54587",273.556784109162,0.764606158641843,0.353552434834566,2.16263864509833,0.0305689834951116,0.999874888188067
"54998",404.15953393067,0.117668679572034,0.146502255170013,0.803186813987822,0.421866765737923,0.999874888188067
"81669",1920.07054334783,0.280932064591191,0.286877040191058,0.979276920886011,0.327443170691529,0.999874888188067
