"gene_id","gene_symbol","padj","log2FoldChange"
"60401","EDA2R",0.0122281262899987,-1.3001708288068
"1524","CX3CR1",0.20126604689834,-0.90778019682311
"100505879","KIF25-AS1",0.20126604689834,3.13283105234065
"94025","MUC16",0.20126604689834,3.74339915354843
"101928180","LOC101928180",0.213962096610815,-1.39630401326782
"5067","CNTN3",0.213962096610815,0.379231036255657
"8470","SORBS2",0.213962096610815,0.309248399392395
"107984440","LOC107984440",0.213962096610815,-0.988283349333749
"105372270","LOC105372270",0.213962096610815,-1.69682159621093
"770","CA11",0.213962096610815,0.470360522113692
"101928176","LINC01411",0.243630465533671,-0.90272231492447
"283420","CLEC9A",0.291648819912009,-1.42417368744739
"399827","LINC01164",0.617481244947849,1.03135651827864
"6289","SAA2",0.617481244947849,2.28213518804345
"114900","C1QTNF4",0.617481244947849,0.474882470753244
"4973","OLR1",0.661511293309245,-1.12373067322779
"151011","SEPTIN10",0.813125086273095,-0.493656578639368
"202309","GAPT",0.97682894290723,-1.74078761032415
"340075","ARSI",0.97682894290723,-1.02404064795135
"29974","A1CF",0.97682894290723,0.957065110802522
"100287102","DDX11L1",0.999874888188067,0.135081646694344
"653635","WASH7P",0.999874888188067,0.345489403160696
"102466751","MIR6859-1",0.999874888188067,0.176982617091028
"100996442","WASH9P",0.999874888188067,0.2275009508459
"729737","LOC729737",0.999874888188067,0.711004862079796
"102725121","DDX11L17",0.999874888188067,0.290964955883344
"102465909","MIR6859-2",0.999874888188067,0.0535059284792035
"112268260","LOC112268260",0.999874888188067,-0.120054021107822
"100132287","LOC100132287",0.999874888188067,0.915930186203827
"105378947","LOC105378947",0.999874888188067,0.224359430775554
"113219467","MIR12136",0.999874888188067,0.0646682541419491
"81399","OR4F16",0.999874888188067,-0.119728686255443
"100288069","LOC100288069",0.999874888188067,0.277849364421931
"105378580","LINC01409",0.999874888188067,0.100226820339592
"400728","FAM87B",0.999874888188067,0.375378937783113
"79854","LINC00115",0.999874888188067,0.230069201836447
"643837","LINC01128",0.999874888188067,0.0280166726547501
"107984850","LOC107984850",0.999874888188067,-0.399264309424516
"284593","FAM41C",0.999874888188067,-0.120574758131518
"284600","LOC284600",0.999874888188067,0.151937163156458
"100130417","LINC02593",0.999874888188067,-0.634264171470658
"107985728","LOC107985728",0.999874888188067,0.040358843975076
"148398","SAMD11",0.999874888188067,-0.0561985570144464
"26155","NOC2L",0.999874888188067,0.224493180564762
"339451","KLHL17",0.999874888188067,0.0435250699195057
